ASN,Organization-Name,Rank,ROV-Percentage
52974,Henet Telecomunicacoes Ltda,774,0
266201,RENOVARE TELECOM,775,0
237,Merit Network Inc.,776,0.3
36994,Vodacom,777,0
20676,Plusnet GmbH,778,1
2607,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,779,0
29802,"HIVELOCITY, Inc.",780,0
21559,OSNET Wireless,781,0
24516,Virtutel Pty Ltd,782,0
46849,"TEXAS LONE STAR NETWORK, LLC",783,0
327782,Metrofibre Networx,784,0
17762,Tata Teleservices (Maharashtra) Ltd,785,0
25184,Afranet,786,0
53158,Net Turbo Telecom,787,0
262526,Titania Telecom,789,0
263324,Net&Com Serviços de Informática e Telecomunicações,790,0
3112,OARnet,793,0.33
18106,Viewqwest Pte Ltd,794,0
9905,Linknet ASN,795,0
33154,DQE Communications LLC,796,0.39
10753,"Level 3 Parent, LLC",797,0.88
42525,GlobalConnect A/S,798,0
16322,Pars Online PJS,799,0
42739,Hawe Telekom Sp. z.o.o.,800,1
32703,Intelligent Fiber Network,801,0
10143,Exetel Pty Ltd,802,1
4764,Wideband Networks Pty Ltd,803,0
61884,OLLA COMUNICACAO LTDA,804,0
3262,"SAREnet, S.A.",807,1
2860,"NOS COMUNICACOES, S.A.",808,0
13807,Great Plains Communications LLC,809,0
16097,HL komm Telekommunikations GmbH,810,0
18002,AS Number for Interdomain Routing,811,0.1
43061,Stelkom d.o.o.,814,0
2518,,816,0
855,Bell Canada,818,0
11492,"CABLE ONE, INC.",819,0.82
49544,i3D.net B.V,820,0
1241,Forthnet,821,1
394437,PS Lightwave,822,0.19
43833,"Producmedia, S.L.",823,0
15958,CETIN Ltd. Belgrade,825,0
31117,ENERGOTEL a.s.,826,0
39326,HighSpeed Office Limited,827,1
50928,PJSC MegaFon,829,0
138322,Afghan Wireless Communication Company,830,0.58
8751,MEDIA SAT SRL,832,0
14282,PERSIS TELECOM,833,0
28338,Net Botanic Internet Inteligente Ltda,834,0
263080,GTi TELECOMUNICACOES S/A,835,0
33771,Safaricom Limited,836,0
10310,Oath Holdings Inc.,837,0
5384,Emirates Telecommunications Corporation,839,0
12975,Palestine Telecommunications Company (PALTEL),840,0
6799,Ote SA (Hellenic Telecommunications Organisation),841,1
45458,ADVANCED WIRELESS NETWORK COMPANY LIMITED,842,1
44735,Nova hf,843,0
6429,Telmex Chile Internet S.A.,844,0
5610,"O2 Czech Republic, a.s.",845,1
19752,Hydro One Telecom Inc.,847,0
12615,Global Communication Net Plc,848,0
13576,SOUTH DAKOTA NETWORK,849,0
31252,StarNet Solutii SRL,851,0
24631,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,852,0
